year,session type,session title,sub unit,chair name,chair aff
2014,Interactive Paper Session,"Analyses of Stereotypes, Gender Roles, and Expectancy Violations in Media",Information Systems,Michael David Hazen,Wake Forest U
2014,Interactive Paper Session,Analyses of Content and Structural Features of Messages,Information Systems,Robert F. Potter,Indiana University
2014,Interactive Paper Session,"Extended Session: Communication Law, Policy, and the ""Good Life""",Communication Law & Policy,,
2014,Interactive Paper Session,Public Relations Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session and Reception,,
2014,Interactive Paper Session,Health Communication Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session and Reception,,
2015,Interactive Paper Session,CAT Interactive Papers #2,Communication and Technology,Leah A. Lievrouw,U of California - Los Angeles
2015,Interactive Paper Session,Environmental Communication Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session II,,
2015,Interactive Paper Session,"Lesbian, Gay, Bisexual, Transgender, and Queer Studies Interactive Paper Session",In Event: ICA Plenary Interactive Paper/Poster Session I,,
2015,Interactive Paper Session,Ethnicity and Race in Communication Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session I,,
2015,Interactive Paper Session,"Philosophy, Theory, and Critique Interactive Poster Session",In Event: ICA Plenary Interactive Paper/Poster Session I,,
2016,Interactive Paper Session,Environmental Communication Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session II,,
2016,Interactive Paper Session,Online Communities and Media Technologies,Information Systems,Anika Batenburg,Radboud University
2016,Interactive Paper Session,Important Media and Message Features,Information Systems,Byungho Park,KAIST
2016,Interactive Paper Session,"Processing Stories, Films, and Music",Information Systems,Allison Zorzie Shaw,University at Buffalo-SUNY
2016,Interactive Paper Session,Emerging Problems Associated With Media Use,Information Systems,Matthias R. Hastall,TU Dortmund U
2017,Interactive Paper Session,ICA Interactive Paper/Poster Session III,In Event: ICA Interactive Paper/Poster Session III,,
2017,Interactive Paper Session,Intergroup Communication Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session III,,
2017,Interactive Paper Session,Computational Methods Interactive Poster Session,In Event: ICA Interactive paper/Poster Session I,,
2017,Interactive Paper Session,Social Brains: Neuroscientific Investigations on Social Influence Processes (High-Density),Communication Science and Biology,Rene Weber,U of California - Santa Barbara
2017,Interactive Paper Session,Game Studies Interactive Poster Session,In Event: ICA Interactive paper/Poster Session I,,
2018,Interactive Paper Session,Theme Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session I,,
2018,Interactive Paper Session,Intercultural Communication Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session III,,
2018,Interactive Paper Session,Public Diplomacy Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session II,,
2018,Interactive Paper Session,Computational Methods Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session I,,
2018,Interactive Paper Session,Feminist Scholarship Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session II,,
